block_id,level,start_time,end_time,duration_sec,behavior_events_all,events_selected_only,hover_only_pairs,is_correct_true,is_correct_false,is_correct_missing,selected_per_min,hover_only_per_min,accuracy,error_rate,net_score,cognitive_load,pattern_count_in_block,segments_between_patterns,segments_with_any_ic,segments_half_true,CMLI,mean_response_time,mean_hover_before_select
25,3,2025-10-22 10:29:46,2025-10-22 10:32:10,144.0,11,0,2,0,11,0,0.0,0.8333333333333334,0.0,100.0,-11.0,0.8333333333333334,3,2,1,0,-0.0,0.0,2.0
26,3,2025-10-22 10:36:37,2025-10-22 10:36:37,0.0,4,0,2,0,4,0,0.0,1999999999.9999998,0.0,100.0,-4.0,1999999999.9999998,2,1,0,0,-0.0,0.0,2.0
27,3,2025-10-22 10:41:12,2025-10-22 10:41:12,0.0,2,0,0,0,2,0,0.0,0.0,0.0,100.0,-2.0,0.0,2,1,0,0,-0.0,0.0,0.0
28,3,2025-10-22 10:45:03,2025-10-22 10:45:50,47.0,11,0,2,0,11,0,0.0,2.5531914893617023,0.0,100.0,-11.0,2.5531914893617023,3,2,0,0,-0.0,0.0,2.0
29,3,2025-10-22 11:30:22,2025-10-22 11:30:22,0.0,2,0,0,0,2,0,0.0,0.0,0.0,100.0,-2.0,0.0,2,1,0,0,-0.0,0.0,0.0
30,3,2025-10-25 09:27:59,2025-10-25 09:28:11,12.0,62,8,16,30,24,8,40.0,80.0,55.55555555555556,44.44444444444444,6.0,80.0,2,1,1,0,0.0,256.57798749999995,2.0
31,3,2025-10-25 09:33:00,2025-10-25 09:33:32,32.0,106,12,29,49,45,12,22.5,54.375,52.12765957446809,47.87234042553192,4.0,54.375,5,4,4,3,7.047872340425533,862.5631333333332,2.4166666666666665
32,1,2025-11-03 10:53:19,2025-11-03 10:53:19,0.0,5,0,1,0,5,0,0.0,999999999.9999999,0.0,100.0,-5.0,999999999.9999999,2,1,0,0,-0.0,0.0,1.0
33,1,2025-11-08 13:00:00,2025-11-08 13:00:19,19.0,44,9,10,25,10,9,28.42105263157895,31.578947368421055,71.42857142857143,28.57142857142857,15.0,31.578947368421055,3,2,2,1,25.974025974025977,348.09399999999994,1.1111111111111112
34,2,2025-11-08 13:00:19,2025-11-08 13:00:22,3.0,6,0,2,6,0,0,0.0,40.0,100.0,0.0,6.0,40.0,2,1,1,1,333.33333333333337,0.0,2.0
